scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,PNW,Pinnacle West Capital Corporation,US,유틸리티,2026-08-20,99.38,924970,1193163.5,1.8314,12044580864,28,60,63,37,40,0,AVOID,-0.41,-5,True,live,,25,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DY,"Dycom Industries, Inc.",US,산업재,2026-08-20,400.23,380168,421183.4,16.4068,12014344192,50,60,55,53,46,0,HOLD,-0.21,-3,False,live,,17,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,CART,Maplebear Inc.,US,IT,2026-08-20,51.07,4514310,4372315.5,2.0514,11822707712,85,60,50,66,70,2,WATCH,0.98,12,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AUR,"Aurora Innovation, Inc.",US,IT,2026-08-20,6.12,31262013,29163445.65,0.4111,12265430016,43,60,40,50,50,1,HOLD,-0.2,-2,False,live,,78,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,EHC,Encompass Health Corporation,US,제약/바이오,2026-08-20,120.91,766245,949477.25,3.5964,11928180736,59,65,40,58,54,0,HOLD,0.33,4,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,MDGL,"Madrigal Pharmaceuticals, Inc.",US,제약/바이오,2026-08-20,519.09,264368,391028.4,20.2936,11993121792,72,65,40,26,50,1,HOLD,0.17,2,False,live,,55,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AFG,"American Financial Group, Inc.",US,금융,2026-08-20,143.65,349341,376487.05,2.9118,11911667712,54,60,63,60,61,0,HOLD,0.43,5,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,CR,Crane Company,US,산업재,2026-08-20,206.5,521182,495134.1,6.0122,11935773696,50,60,63,58,56,0,HOLD,0.4,5,False,live,,55,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DOCU,"DocuSign, Inc.",US,IT,2026-08-20,62.28,1838028,3013926.4,2.7022,11892030464,88,60,50,66,71,2,WATCH,1.03,12,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TTMI,"TTM Technologies, Inc.",US,IT,2026-08-20,114.38,1833266,3372503.3,11.395,12049803264,40,60,51,50,42,0,AVOID,-0.5,-6,True,live,,26,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,HII,"Huntington Ingalls Industries, Inc.",US,산업재,2026-08-20,301.4,400870,555773.5,8.725,11876546560,32,60,50,52,42,0,AVOID,-0.42,-5,True,live,,34,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,OC,Owens Corning,US,소재,2026-08-20,147.16,858800,825055.0,5.4429,11632803840,58,60,60,68,63,0,HOLD,0.61,7,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,IAG,Iamgold Corporation,US,소재,2026-08-20,20.5,7078651,6158687.55,1.0028,11705499648,70,60,55,73,64,2,WATCH,0.69,8,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ELAN,Elanco Animal Health Incorporated,US,제약/바이오,2026-08-20,23.56,4934981,8476169.05,1.2486,11771089920,29,65,72,53,54,1,HOLD,0.2,2,False,live,,66,NEUTRAL
